,,,,,,,,,,,,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals
Rk,Season,Column2,Tm,Column1,Lg,G,W,L,State,Team,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
206,2013-14,2014,BOS,2013MACeltics,NBA,82,25,57,MA,Celtics,0.305,19730,2996,6883,2421,5154,575,1729,1325,1706,980,2505,3485,1726,584,343,1261,1743,7892
185,2013-14,2014,DET,2013MIPistons,NBA,82,29,53,MI,Pistons,0.354,19780,3182,7124,2675,5544,507,1580,1415,2111,1196,2525,3721,1714,687,395,1193,1666,8286
128,2013-14,2014,MIN,2013MNTimberwolves,NBA,82,40,42,MN,Timberwolves,0.488,19855,3189,7175,2589,5418,600,1757,1790,2301,1024,2644,3668,1963,718,297,1142,1504,8768
102,2013-14,2014,CHA*,2013NCHornets,NBA,82,43,39,NC,Hornets,0.524,19905,2976,6730,2460,5259,516,1471,1474,2000,776,2724,3500,1778,499,421,1010,1493,7942
144,2013-14,2014,NYK,2013NYKnicks,NBA,82,37,45,NY,Knicks,0.451,19855,3027,6739,2268,4701,759,2038,1271,1670,870,2437,3307,1641,631,367,1063,1815,8084
94,2013-14,2014,BRK*,2013NYNets,NBA,82,44,38,NY,Nets,0.537,19880,2931,6391,2222,4469,709,1922,1508,2002,721,2407,3128,1714,705,311,1191,1777,8079
166,2013-14,2014,CLE,2013OHCavaliers,NBA,82,33,49,OH,Cavaliers,0.402,19930,3036,6955,2452,5315,584,1640,1398,1861,989,2629,3618,1738,579,304,1163,1640,8054
13,2013-14,2014,OKC*,2013OKThunder,NBA,82,59,23,OK,Thunder,0.72,19805,3194,6782,2530,4943,664,1839,1653,2052,887,2781,3668,1794,678,501,1256,1858,8705
39,2013-14,2014,POR*,2013ORTrail Blazers,NBA,82,54,28,OR,Trail Blazers,0.659,19855,3207,7134,2437,5063,770,2071,1569,1926,1022,2786,3808,1904,454,387,1125,1576,8753
232,2013-14,2014,PHI,2013PA76ers,NBA,82,19,63,PA,76ers,0.232,19855,3108,7150,2531,5303,577,1847,1362,1918,949,2556,3505,1791,765,330,1384,1844,8155
54,2013-14,2014,MEM*,2013TNGrizzlies,NBA,82,50,32,TN,Grizzlies,0.61,19805,3122,6723,2717,5576,405,1147,1235,1666,950,2526,3476,1792,631,375,1124,1568,7884
67,2013-14,2014,TOR*,2013TTRaptors,NBA,82,48,34,TT,Raptors,0.585,19955,2992,6718,2279,4801,713,1917,1608,2055,935,2552,3487,1737,577,343,1159,1882,8305
37,2013-14,2014,HOU*,2013TXAstros,NBA,82,54,28,TX,Astros,0.659,19830,3118,6603,2339,4424,779,2179,1814,2549,920,2797,3717,1755,621,461,1323,1676,8829
60,2013-14,2014,DAL*,2013TXMavericks,NBA,82,49,33,TX,Mavericks,0.598,19830,3249,6858,2528,4981,721,1877,1378,1733,840,2514,3354,1935,704,356,1110,1636,8597
8,2013-14,2014,SAS*,2013TXSpurs,NBA,82,62,20,TX,Spurs,0.756,19755,3326,6844,2628,5087,698,1757,1289,1642,762,2786,3548,2064,604,420,1180,1495,8639
201,2013-14,2014,UTA,2013UTJazz,NBA,82,25,57,UT,Jazz,0.305,19780,2951,6652,2408,5075,543,1577,1346,1803,904,2477,3381,1664,570,366,1200,1699,7791
95,2013-14,2014,WAS*,2013WAWizards,NBA,82,44,38,WA,Wizards,0.537,20055,3177,6920,2530,5216,647,1704,1253,1715,886,2573,3459,1909,668,377,1204,1675,8254
238,2013-14,2014,MIL,2013WIBucks,NBA,82,15,67,WI,Bucks,0.183,19880,2952,6737,2404,5184,548,1553,1377,1843,971,2399,3370,1760,541,403,1238,1713,7829
134,2014-15,2015,PHO,2014AZSuns,NBA,82,39,43,AZ,Suns,0.476,19880,3178,7038,2480,4990,698,2048,1343,1767,896,2643,3539,1659,700,385,1238,1744,8397
28,2014-15,2015,LAC*,2014CAClippers,NBA,82,56,26,CA,Clippers,0.683,19730,3228,6830,2401,4628,827,2202,1468,2067,784,2711,3495,2031,640,409,1012,1749,8751
186,2014-15,2015,SAC,2014CAKings,NBA,82,29,53,CA,Kings,0.354,19855,3010,6617,2549,5267,461,1350,1829,2400,895,2728,3623,1667,550,324,1333,1696,8310
226,2014-15,2015,LAL,2014CALakers,NBA,82,21,61,CA,Lakers,0.256,19930,3054,7020,2522,5474,532,1546,1433,1935,952,2647,3599,1715,578,366,1086,1741,8073
2,2014-15,2015,GSW*,2014CAWarriors,NBA,82,67,15,CA,Warriors,0.817,19730,3410,7137,2527,4920,883,2217,1313,1709,853,2814,3667,2248,762,496,1185,1628,9016
181,2014-15,2015,DEN,2014CONuggets,NBA,82,30,52,CO,Nuggets,0.366,19880,3099,7158,2439,5126,660,2032,1462,1991,1012,2653,3665,1788,641,367,1166,1882,8320
145,2014-15,2015,MIA,2014FLHeat,NBA,82,37,45,FL,Heat,0.451,19730,2885,6330,2329,4671,556,1659,1438,1940,747,2461,3208,1626,642,372,1214,1636,7764
204,2014-15,2015,ORL,2014FLMagic,NBA,82,25,57,FL,Magic,0.305,19755,3076,6792,2522,5194,554,1598,1141,1565,822,2607,3429,1692,647,314,1221,1714,7847
12,2014-15,2015,ATL*,2014GAHawks,NBA,82,60,22,GA,Hawks,0.732,19730,3121,6699,2303,4547,818,2152,1349,1735,715,2611,3326,2111,744,380,1167,1457,8409
55,2014-15,2015,CHI*,2014ILBulls,NBA,82,50,32,IL,Bulls,0.61,19880,3001,6797,2356,4972,645,1825,1618,2067,959,2792,3751,1781,514,476,1145,1495,8265
140,2014-15,2015,IND,2014INPacers,NBA,82,38,44,IN,Pacers,0.463,19855,2998,6824,2386,5084,612,1740,1373,1817,856,2822,3678,1757,505,375,1147,1742,7981
89,2014-15,2015,NOP*,2014LAPelicans,NBA,82,45,37,LA,Pelicans,0.549,19780,3108,6795,2522,5212,586,1583,1345,1790,942,2621,3563,1806,553,510,1087,1530,8147
129,2014-15,2015,BOS*,2014MACeltics,NBA,82,40,42,MA,Celtics,0.488,19880,3193,7211,2533,5190,660,2021,1266,1678,910,2685,3595,2009,674,294,1133,1738,8312
173,2014-15,2015,DET,2014MIPistons,NBA,82,32,50,MI,Pistons,0.39,19830,3041,7038,2338,4995,703,2043,1292,1838,1051,2630,3681,1771,623,383,1099,1559,8077
237,2014-15,2015,MIN,2014MNTimberwolves,NBA,82,16,66,MN,Timberwolves,0.195,19805,2986,6820,2580,5597,406,1223,1638,2110,949,2406,3355,1771,668,327,1231,1571,8016
