Pick,Team,Player,Pos,Age,College,Yrs,Total Value,Signing Bonus,2015 Cap,year
28  ,DET  from DEN, Laken Tomlinson ,G,23,Duke,4,"$8,550,244","$4,478,359","$1,554,589",2015
29  ,IND , Phillip Dorsett ,WR,22,Miami (FL),4,"$8,135,414","$4,176,665","$1,479,166",2015
30  ,GB , Damarious Randall ,FS,22,Arizona State,4,"$7,915,734","$4,016,897","$1,439,224",2015
31  ,NO  from SEA, Stephone Anthony ,OLB,22,Clemson,4,"$7,731,716","$3,883,066","$1,405,766",2015
32  ,NE , Malcom Brown ,DT,21,Texas,4,"$7,613,229","$3,796,894","$1,384,223",2015
33  ,NYG  from TEN, Landon Collins ,FS,21,Alabama,4,"$6,120,557","$2,711,314","$1,112,828",2015
34  ,TB , Donovan Smith ,LT,21,Penn State,4,"$6,068,860","$2,673,716","$1,103,429",2015
35  ,OAK , Mario Edwards ,DE,21,Florida State,4,"$6,017,162","$2,636,118","$1,080,264",2015
36  ,JAC , T.J. Yeldon ,RB,21,Alabama,4,"$5,913,774","$2,560,927","$1,075,231",2015
37  ,NYJ , Devin Smith ,WR,23,Ohio State,4,"$5,872,419","$2,530,850","$1,047,064",2015
38  ,WAS , Preston Smith ,OLB,22,Mississippi State,4,"$5,779,354","$2,463,167","$1,050,791",2015
39  ,CHI , Eddie Goldman ,DT,21,Florida State,4,"$5,686,314","$2,395,501","$1,026,992",2015
40  ,TEN  from NYG, Dorial Green-Beckham ,WR,22,Missouri,4,"$5,603,597","$2,335,344","$1,018,836",2015
41  ,CAR  from STL, Devin Funchess ,WR,20,Michigan,4,"$5,520,887","$2,275,190","$1,003,797",2015
42  ,ATL , Jalen Collins ,CB,22,Louisiana State,4,"$5,427,834","$2,207,516","$986,879",2015
43  ,HOU  from CLE, Benardrick McKinney ,ILB,22,Mississippi State,4,"$5,345,124","$2,147,363","$971,840",2015
44  ,NO , Hau'oli Kikaha ,OLB,23,Washington,4,"$5,266,310","$2,090,044","$957,511",2015
45  ,MIN , Eric Kendricks ,ILB,23,California-Los Angeles,4,"$5,155,920","$2,009,760","$937,440",2015
46  ,SF , Jaquiski Tartt ,FS,23,Samford,4,"$5,037,015","$1,923,284","$915,821",2015
47  ,PHI  from MIA, Eric Rowe ,CB,22,Utah,4,"$4,879,862","$1,808,990","$887,248",2015
48  ,SD , Denzel Perryman ,ILB,21,Miami (FL),4,"$4,776,474","$1,733,799","$868,449",2015
49  ,KC , Mitch Morse ,C,23,Missouri,4,"$4,673,076","$1,658,598","$849,649",2015
50  ,BUF , Ronald Darby ,CB,21,Florida State,4,"$4,569,691","$1,583,412","$830,853",2015
51  ,CLE  from HOU, Nate Orchard ,OLB,22,Utah,4,"$4,466,303","$1,508,220","$812,055",2015
52  ,MIA  from PHI, Jordan Phillips ,DT,22,Oklahoma,4,"$4,362,908","$1,433,024","$793,256",2015
53  ,CIN , Jake Fisher ,LT,22,Oregon,4,"$4,259,520","$1,357,833","$774,458",2015
