rank,team,name,salary,year
286,,"
Elliot Williams
Shooting Guard
","$1,348,800  ",2011
287,,"
Omri Casspi
Small Forward
","$1,341,960  ",2011
288,,"
Nolan Smith
Point Guard
","$1,306,920  ",2011
289,,"
Hamed Haddadi
Center
","$1,300,000  ",2011
290,,"
Trevor Booker
Power Forward
","$1,294,920  ",2011
291,,"
Serge Ibaka
Power Forward
","$1,288,200  ",2011
,,"
B.J. Mullens
Power Forward
","$1,288,200  ",2011
293,,"
Kenneth Faried
Power Forward
","$1,254,720  ",2011
294,,"
Rodrigue Beaubois
Point Guard
","$1,236,720  ",2011
295,,"
Reggie Evans
Power Forward
","$1,229,255  ",2011
,,"
Jamaal Tinsley
Point Guard
","$1,229,255  ",2011
,,"
Mike James
Point Guard
","$1,229,255  ",2011
298,,"
Brian Cook
Power Forward
","$1,223,166  ",2011
299,,"
Royal Ivey
Point Guard
","$1,200,000  ",2011
300,,"
Dominique Jones
Shooting Guard
","$1,193,280  ",2011
301,,"
Earl Clark
Small Forward
","$1,160,000  ",2011
302,,"
Reggie Jackson
Point Guard
","$1,156,320  ",2011
303,,"
Quincy Pondexter
Shooting Guard
","$1,153,800  ",2011
304,,"
Toney Douglas
Shooting Guard
","$1,145,640  ",2011
305,,"
Jordan Crawford
Shooting Guard
","$1,120,440  ",2011
306,,"
Greivis Vasquez
Point Guard
","$1,113,600  ",2011
307,,"
Lazar Hayward
Power Forward
","$1,097,520  ",2011
,,"
Christian Eyenga
Point Guard
","$1,097,520  ",2011
309,,"
Jordan Hamilton
Small Forward
","$1,073,280  ",2011
310,,"
MarShon Brooks
Shooting Guard
","$1,063,865  ",2011
311,,"
JaJuan Johnson
Power Forward
","$1,042,320  ",2011
312,,"
Norris Cole
Point Guard
","$1,035,960  ",2011
313,,"
Jimmy Butler
Shooting Guard
","$1,020,960  ",2011
314,,"
Jermey Pargo
Point Guard
","$1,000,000  ",2011
,,"
Jon Brockman
Small Forward
","$1,000,000  ",2011
316,,"
Von Wafer
Point Guard
","$992,680  ",2011
,,"
Shelden Williams
Center
","$992,680  ",2011
,,"
Steve Novak
Small Forward
","$992,680  ",2011
319,,"
DeJaun Blair
Center
","$986,000  ",2011
320,,"
Taj Gibson
Power Forward
","$962,377  ",2011
321,,"
Sam Young
Small Forward
","$947,800  ",2011
322,,"
Cory Joseph
Point Guard
","$942,700  ",2011
323,,"
Wayne Ellington
Shooting Guard
","$929,151  ",2011
324,,"
John Lucas III
Point Guard
","$915,852  ",2011
,,"
Brandan Wright
Power Forward
","$915,852  ",2011
326,,"
Jodie Meeks
Shooting Guard
","$884,293  ",2011
,,"
Chase Budinger
Small Forward
","$884,293  ",2011
,,"
A.J. Price
Point Guard
","$884,293  ",2011
,,"
Ian Mahinmi
Center
","$884,293  ",2011
330,,"
Daniel Orton
Center
","$883,370  ",2011
331,,"
Tony Battie
Power Forward
","$854,389  ",2011
,,"
Ronnie Price
Point Guard
","$854,389  ",2011
,,"
Troy Murphy
Power Forward
","$854,389  ",2011
,,"
Jason Collins
Center
","$854,389  ",2011
,,"
Tracy McGrady
Shooting Guard
","$854,389  ",2011
,,"
Jerry Stackhouse
Small Forward
","$854,389  ",2011
,,"
Marquis Daniels
Small Forward
","$854,389  ",2011
,,"
Sasha Pavlovic
Shooting Guard
","$854,389  ",2011
,,"
Mickael Pietrus
Small Forward
","$854,389  ",2011
,,"
Derrick Brown
Point Guard
","$854,389  ",2011
,,"
Alonzo Gee
Small Forward
","$854,389  ",2011
,,"
Baron Davis
Point Guard
","$854,389  ",2011
,,"
Jared Jeffries
Power Forward
","$854,389  ",2011
,,"
Delonte West
Point Guard
","$854,389  ",2011
