rank,team,name,salary,year
,,"
Caleb Swanigan
Power Forward
","$1,740,000  ",2018
294,,"
Landry Shamet
Point Guard
","$1,703,640  ",2018
295,,"
Caris LeVert
Shooting Guard
","$1,702,800  ",2018
296,,"
Jonah Bolden
Small Forward
","$1,690,000  ",2018
297,,"
Kyle Kuzma
Power Forward
","$1,689,840  ",2018
298,,"
Tony Bradley
Center
","$1,679,520  ",2018
299,,"
Derrick White
Point Guard
","$1,667,160  ",2018
300,,"
Spencer Dinwiddie
Point Guard
","$1,656,092  ",2018
301,,"
Josh Hart
Shooting Guard
","$1,655,160  ",2018
302,,"
Robert Williams
Power Forward
","$1,654,440  ",2018
303,,"
Jacob Evans
Small Forward
","$1,644,240  ",2018
304,,"
Pat Connaughton
Shooting Guard
","$1,641,000  ",2018
305,,"
DeAndre' Bembry
Small Forward
","$1,634,640  ",2018
306,,"
Dzanan Musa
Shooting Guard
","$1,632,240  ",2018
307,,"
James Ennis
Small Forward
","$1,621,415  ",2018
308,,"
Omari Spellman
Power Forward
","$1,620,480  ",2018
309,,"
Luke Kornet
Power Forward
","$1,619,260  ",2018
310,,"
Rodions Kurucs
Small Forward
","$1,618,320  ",2018
311,,"
T.J. McConnell
Point Guard
","$1,600,520  ",2018
,,"
Richaun Holmes
Power Forward
","$1,600,520  ",2018
313,,"
Jahlil Okafor
Center
","$1,567,007  ",2018
314,,"
Rodney McGruder
Shooting Guard
","$1,544,951  ",2018
,,"
Ivica Zubac
Center
","$1,544,951  ",2018
,,"
Willy Hernangomez
Center
","$1,544,951  ",2018
,,"
Timothe Luwawu-Cabarrot
Shooting Guard
","$1,544,951  ",2018
,,"
Wayne Selden
Shooting Guard
","$1,544,951  ",2018
,,"
Skal Labissiere
Power Forward
","$1,544,951  ",2018
,,"
Jake Layman
Small Forward
","$1,544,951  ",2018
,,"
Dorian Finney-Smith
Small Forward
","$1,544,951  ",2018
,,"
Malcolm Brogdon
Point Guard
","$1,544,951  ",2018
,,"
Dejounte Murray
Point Guard
","$1,544,951  ",2018
,,"
Pascal Siakam
Power Forward
","$1,544,951  ",2018
,,"
Cheick Diallo
Power Forward
","$1,544,951  ",2018
,,"
Quinn Cook
Point Guard
","$1,544,951  ",2018
,,"
Damian Jones
Center
","$1,544,951  ",2018
328,,"
Amir Johnson
Center
","$1,512,601  ",2018
,,"
Treveon Graham
Shooting Guard
","$1,512,601  ",2018
,,"
JaVale McGee
Center
","$1,512,601  ",2018
,,"
Shelvin Mack
Point Guard
","$1,512,601  ",2018
,,"
Jamal Crawford
Shooting Guard
","$1,512,601  ",2018
,,"
Channing Frye
Power Forward
","$1,512,601  ",2018
,,"
David Nwaba
Shooting Guard
","$1,512,601  ",2018
,,"
Udonis Haslem
Power Forward
","$1,512,601  ",2018
,,"
Dwyane Wade
Shooting Guard
","$1,512,601  ",2018
,,"
Derrick Jones Jr.
Small Forward
","$1,512,601  ",2018
,,"
Devin Harris
Point Guard
","$1,512,601  ",2018
,,"
Quincy Pondexter
Shooting Guard
","$1,512,601  ",2018
,,"
Isaiah Thomas
Point Guard
","$1,512,601  ",2018
,,"
Luol Deng
Small Forward
","$1,512,601  ",2018
