RK,TEAM,GMS,TOTAL,AVG,PCT,year,sport
31,Mavericks,41,817982,19950,103.9,2014,nba
32,Bulls,41,890370,21716,103.8,2014,nba
3,76ers,41,571572,13940,68.6,2015,nba
4,Timberwolves,41,595652,14528,75.1,2015,nba
5,Nuggets,41,602707,14700,76.7,2015,nba
6,Bucks,41,611226,14907,79.6,2015,nba
7,Pistons,41,625917,15266,69.2,2015,nba
8,Kings,41,680049,16586,95.8,2015,nba
9,Pelicans,41,683757,16677,97.0,2015,nba
10,Magic,41,688194,16785,89.1,2015,nba
11,Pacers,41,691434,16864,92.8,2015,nba
12,Suns,41,693862,16923,91.9,2015,nba
13,Nets,41,698529,17037,94.1,2015,nba
14,Hornets,41,704886,17192,90.1,2015,nba
15,Grizzlies,41,710502,17329,95.6,2015,nba
16,Hawks,41,713909,17412,93.0,2015,nba
17,Celtics,41,721350,17593,94.5,2015,nba
18,Thunder,41,746323,18203,100.0,2015,nba
19,Rockets,41,747412,18229,101.0,2015,nba
20,Wizards,41,747796,18238,89.9,2015,nba
21,Spurs,41,762855,18606,100.1,2015,nba
22,Lakers,41,768244,18737,98.3,2015,nba
23,Jazz,41,772059,18830,94.6,2015,nba
24,Clippers,41,785892,19168,100.6,2015,nba
25,Trail Blazers,41,801733,19554,94.0,2015,nba
26,Warriors,41,803436,19596,100.0,2015,nba
27,Heat,41,808223,19712,100.6,2015,nba
28,Raptors,41,809824,19751,99.8,2015,nba
29,NY Knicks,41,812292,19812,100.0,2015,nba
30,Mavericks,41,827702,20187,105.1,2015,nba
31,Cavaliers,41,843042,20562,100.0,2015,nba
32,Bulls,41,875091,21343,102.0,2015,nba
3,Nuggets,41,577898,14095,73.6,2016,nba
4,Timberwolves,41,581178,14175,73.2,2016,nba
5,76ers,41,610121,14881,73.2,2016,nba
6,Nets,41,620142,15125,83.6,2016,nba
7,Bucks,41,621808,15166,81.0,2016,nba
8,Pistons,41,677138,16515,74.8,2016,nba
9,Grizzlies,41,684603,16697,92.2,2016,nba
10,Pelicans,41,688549,16793,97.7,2016,nba
11,Hawks,41,690150,16832,89.9,2016,nba
12,Pacers,41,690733,16847,92.7,2016,nba
13,Suns,41,701405,17107,92.9,2016,nba
14,Kings,41,707526,17256,99.7,2016,nba
15,Hornets,41,716894,17485,91.7,2016,nba
16,Magic,41,719275,17543,93.1,2016,nba
17,Wizards,41,725426,17693,87.3,2016,nba
18,Rockets,41,737244,17981,99.7,2016,nba
19,Thunder,41,746323,18203,100.0,2016,nba
20,Celtics,41,749076,18270,98.1,2016,nba
21,Spurs,41,756445,18449,99.3,2016,nba
22,Lakers,41,778877,18997,99.7,2016,nba
23,Clippers,41,786910,19192,100.7,2016,nba
24,Jazz,41,791489,19304,97.0,2016,nba
25,Trail Blazers,41,794085,19367,99.6,2016,nba
26,Warriors,41,803436,19596,100.0,2016,nba
27,Heat,41,809350,19740,100.7,2016,nba
28,NY Knicks,41,812292,19812,100.0,2016,nba
29,Raptors,41,812863,19825,100.1,2016,nba
