name,salary,year
Thomas Howard,"$2,500,000  ",2011
Tyler Thigpen,"$2,500,000  ",2011
Daryn Colledge,"$2,500,000  ",2011
Wayne Hunter,"$2,500,000  ",2011
Abram Elam,"$2,500,000  ",2011
Carson Palmer,"$2,500,000  ",2011
Wade Smith,"$2,500,000  ",2011
Jacoby Jones,"$2,500,000  ",2011
Israel Idonije,"$2,500,000  ",2011
Vernon Carey,"$2,500,000  ",2011
Malcolm Jenkins,"$2,480,000  ",2011
Kyle Cook,"$2,475,000  ",2011
Maurice Morris,"$2,475,000  ",2011
Mike DeVito,"$2,475,000  ",2011
Jim Leonhard,"$2,458,333  ",2011
Todd Herremans,"$2,433,333  ",2011
Ahmad Brooks,"$2,425,000  ",2011
Daniel Graham,"$2,416,667  ",2011
Joshua Cribbs,"$2,407,000  ",2011
Andra Davis,"$2,400,000  ",2011
Josh Scobee,"$2,400,000  ",2011
Deion Branch,"$2,400,000  ",2011
Thomas Davis,"$2,400,000  ",2011
John Kasay,"$2,400,000  ",2011
Ryan Lilja,"$2,400,000  ",2011
Tim Dobbins,"$2,400,000  ",2011
Bobbie Williams,"$2,388,236  ",2011
Ryan Longwell,"$2,375,000  ",2011
Justin Durant,"$2,375,000  ",2011
Leon Washington,"$2,375,000  ",2011
Parys Haralson,"$2,350,000  ",2011
Lyle Sendlein,"$2,350,000  ",2011
Patrick Crayton,"$2,350,000  ",2011
Tyson Alualu,"$2,345,000  ",2011
Vonta Leach,"$2,333,333  ",2011
Kassim Osgood,"$2,333,333  ",2011
Ron Edwards,"$2,333,333  ",2011
Matt Spaeth,"$2,333,333  ",2011
Clint Session,"$2,325,000  ",2011
Aaron Ross,"$2,322,000  ",2011
Phillip Merling,"$2,315,000  ",2011
Chris Williams,"$2,308,250  ",2011
Mario Haggan,"$2,303,333  ",2011
Demorrio Williams,"$2,300,000  ",2011
Jake Locker,"$2,288,364  ",2011
Chris Crocker,"$2,287,500  ",2011
Brian Cushing,"$2,274,000  ",2011
Shaun Hill,"$2,273,225  ",2011
Tyron Smith,"$2,272,018  ",2011
Josh Freeman,"$2,270,000  ",2011
Ben Obomanu,"$2,266,667  ",2011
Branden Albert,"$2,266,250  ",2011
Miles Austin,"$2,256,000  ",2011
Mike Patterson,"$2,250,000  ",2011
Leroy Harris,"$2,250,000  ",2011
Shaun Smith,"$2,250,000  ",2011
Tony Scheffler,"$2,250,000  ",2011
Ryan Clark,"$2,250,000  ",2011
Jay Feely,"$2,250,000  ",2011
Brandon Jackson,"$2,250,000  ",2011
Antonio Cromartie,"$2,250,000  ",2011
Mason Crosby,"$2,250,000  ",2011
Thomas Jones,"$2,250,000  ",2011
Chris Spencer,"$2,250,000  ",2011
Marion Barber,"$2,250,000  ",2011
Takeo Spikes,"$2,225,000  ",2011
Mat McBriar,"$2,200,000  ",2011
Anthony Spencer,"$2,196,000  ",2011
Jeff Otah,"$2,191,250  ",2011
Blaine Gabbert,"$2,182,118  ",2011
Fred Jackson,"$2,175,000  ",2011
Leodis McKelvin,"$2,173,334  ",2011
Jonathan Goodwin,"$2,166,667  ",2011
Paris Lenon,"$2,166,667  ",2011
Demaryius Thomas,"$2,161,250  ",2011
Joe Staley,"$2,159,750  ",2011
Drew Coleman,"$2,150,000  ",2011
Neil Rackers,"$2,150,000  ",2011
Robbie Gould,"$2,150,000  ",2011
Marshawn Lynch,"$2,140,000  ",2011
Chris Houston,"$2,125,000  ",2011
Todd Heap,"$2,125,000  ",2011
Tim Tebow,"$2,111,875  ",2011
Billy Cundiff,"$2,100,000  ",2011
Braylon Edwards,"$2,100,000  ",2011
Todd McClure,"$2,100,000  ",2011
Anthony Gonzalez,"$2,091,250  ",2011
Ryan Mathews,"$2,083,750  ",2011
Brian Orakpo,"$2,077,000  ",2011
Robert Ayers,"$2,061,250  ",2011
Justin Peelle,"$2,051,667  ",2011
Daniel Loper,"$2,050,000  ",2011
J.J. Watt,"$2,043,182  ",2011
Chris Gocong,"$2,012,500  ",2011
Brandon Pettigrew,"$2,002,500  ",2011
Dashon Goldson,"$2,000,000  ",2011
Ray McDonald,"$2,000,000  ",2011
Antonio Johnson,"$2,000,000  ",2011
Bruce Gradkowski,"$2,000,000  ",2011
Byron Leftwich,"$2,000,000  ",2011
Olindo Mare,"$2,000,000  ",2011
Malcom Floyd,"$2,000,000  ",2011
Bob Sanders,"$2,000,000  ",2011
Stephen Nicholas,"$2,000,000  ",2011
Khalif Barnes,"$2,000,000  ",2011
Roy Williams,"$2,000,000  ",2011
Kevin Burnett,"$2,000,000  ",2011
Ahtyba Rubin,"$1,998,100  ",2011
Dustin Colquitt,"$1,980,000  ",2011
Alex Mack,"$1,974,000  ",2011
Jason Avant,"$1,960,000  ",2011
Aqib Talib,"$1,953,750  ",2011
Chris Carr,"$1,950,000  ",2011
Moran Norris,"$1,927,333  ",2011
Brodrick Bunkley,"$1,920,000  ",2011
Dexter McCluster,"$1,920,000  ",2011
David Akers,"$1,916,667  ",2011
Larry English,"$1,905,000  ",2011
Sam Koch,"$1,900,000  ",2011
Rex Hadnot,"$1,900,000  ",2011
Jordy Nelson,"$1,900,000  ",2011
Robert Meachem,"$1,899,500  ",2011
T.J. Ward,"$1,896,750  ",2011
Phillip Buchanon,"$1,889,705  ",2011
Montell Owens,"$1,887,500  ",2011
Rashard Mendenhall,"$1,882,500  ",2011
Kevin Vickerson,"$1,875,000  ",2011
Dustin Keller,"$1,864,375  ",2011
Daniel Muir,"$1,850,000  ",2011
Anthony Adams,"$1,850,000  ",2011
Christian Ponder,"$1,847,036  ",2011
Tony McDaniel,"$1,842,500  ",2011
Clay Matthews,"$1,840,000  ",2011
Matt Prater,"$1,835,000  ",2011
Wesley Woodyard,"$1,835,000  ",2011
Husain Abdullah,"$1,835,000  ",2011
Brandon Keith,"$1,835,000  ",2011
Tim Hightower,"$1,835,000  ",2011
BenJarvus Green-Ellis,"$1,835,000  ",2011
Mike Tolbert,"$1,835,000  ",2011
Wallace Gilberry,"$1,835,000  ",2011
Barry Richardson,"$1,835,000  ",2011
Eric Weems,"$1,835,000  ",2011
Mike Brisiel,"$1,835,000  ",2011
Connor Barth,"$1,835,000  ",2011
Uche Nwaneri,"$1,830,500  ",2011
Davone Bess,"$1,813,000  ",2011
Matt Bryant,"$1,812,500  ",2011
Vontae Davis,"$1,812,500  ",2011
Duane Brown,"$1,807,500  ",2011
Bryant McKinnie,"$1,800,000  ",2011
Michael Oher,"$1,800,000  ",2011
Kelly Jennings,"$1,800,000  ",2011
Luke McCown,"$1,800,000  ",2011
Nate Kaeding,"$1,800,000  ",2011
Peria Jerry,"$1,800,000  ",2011
Nick Fairley,"$1,798,000  ",2011
Percy Harvin,"$1,783,800  ",2011
Mike Iupati,"$1,777,500  ",2011
Jermaine Gresham,"$1,771,250  ",2011
Jeremy Bridges,"$1,766,666  ",2011
Nate Allen,"$1,759,000  ",2011
Dez Bryant,"$1,752,500  ",2011
Darren Sproles,"$1,750,000  ",2011
Scott Shanle,"$1,750,000  ",2011
Derrick Ward,"$1,750,000  ",2011
Koa Misi,"$1,747,500  ",2011
Roscoe Parrish,"$1,745,000  ",2011
Felix Jones,"$1,738,250  ",2011
Jarrett Bush,"$1,733,333  ",2011
Rob Gronkowski,"$1,720,000  ",2011
George Wilson,"$1,716,666  ",2011
Robert Quinn,"$1,715,646  ",2011
Tarell Brown,"$1,707,312  ",2011
Rian Lindell,"$1,700,000  ",2011
Floyd Womack,"$1,700,000  ",2011
Usama Young,"$1,700,000  ",2011
Steve Breaston,"$1,700,000  ",2011
Stephon Heyer,"$1,700,000  ",2011
Chris Harris,"$1,695,000  ",2011
Richie Incognito,"$1,688,333  ",2011
Nick Roach,"$1,685,000  ",2011
Mike Pouncey,"$1,683,581  ",2011
Arrelious Benn,"$1,680,000  ",2011
Jamaal Jackson,"$1,675,000  ",2011
Brian Moorman,"$1,675,000  ",2011
Eric Wood,"$1,673,750  ",2011
Michael Jenkins,"$1,666,666  ",2011
Brandon Johnson,"$1,650,000  ",2011
Jared Odrick,"$1,644,548  ",2011
Rashad Butler,"$1,642,280  ",2011
Evander Hood,"$1,628,353  ",2011
John Sullivan,"$1,624,050  ",2011
Kendall Langford,"$1,615,000  ",2011
Bryan Bulaga,"$1,613,500  ",2011
Delanie Walker,"$1,610,000  ",2011
Kenny Phillips,"$1,603,750  ",2011
Jonathan Fanene,"$1,600,000  ",2011
Charlie Johnson,"$1,600,000  ",2011
Bryan Scott,"$1,600,000  ",2011
Charles Godfrey,"$1,600,000  ",2011
Craig Dahl,"$1,600,000  ",2011
Kyle Kosier,"$1,600,000  ",2011
Kamerion Wimbley,"$1,600,000  ",2011
Dan Williams,"$1,595,000  ",2011
Will Allen,"$1,590,000  ",2011
Ryan Kerrigan,"$1,585,508  ",2011
Beanie Wells,"$1,585,000  ",2011
Marcus Stroud,"$1,583,120  ",2011
Antoine Cason,"$1,581,000  ",2011
Reggie Nelson,"$1,579,500  ",2011
Mike Adams,"$1,566,667  ",2011
Kenny Britt,"$1,558,752  ",2011
Hakeem Nicks,"$1,555,000  ",2011
Mario Manningham,"$1,554,250  ",2011
Nate Solder,"$1,552,817  ",2011
Frostee Rucker,"$1,552,222  ",2011
Sione Pouha,"$1,550,000  ",2011
Mike Jenkins,"$1,540,500  ",2011
