rank,team,name,salary,year
298,,"
Tyrann Mathieu
Free Safety
","$4,337,657  ",2016
299,,"
Chris Baker
Defensive Tackle
","$4,275,000  ",2016
300,,"
Wesley Woodyard
Inside Linebacker
","$4,250,000  ",2016
,,"
Kendall Langford
Defensive End
","$4,250,000  ",2016
,,"
Erik Walden
Outside Linebacker
","$4,250,000  ",2016
,,"
Demar Dotson
Right Tackle
","$4,250,000  ",2016
304,,"
Jalen Ramsey
Cornerback
","$4,245,636  ",2016
305,,"
Leonard Williams
Defensive End
","$4,234,288  ",2016
306,,"
Haloti Ngata
Defensive Tackle
","$4,218,750  ",2016
307,,"
Eric Wood
Center
","$4,208,333  ",2016
308,,"
Tashaun Gipson
Free Safety
","$4,206,250  ",2016
309,,"
Mike Iupati
Guard
","$4,200,000  ",2016
310,,"
Shawn Williams
Strong Safety
","$4,188,986  ",2016
311,,"
Steve Smith
Wide Receiver
","$4,166,668  ",2016
312,,"
Stephen Gostkowski
Kicker
","$4,100,000  ",2016
313,,"
Rey Maualuga
Inside Linebacker
","$4,084,375  ",2016
314,,"
Marcus Gilbert
Right Tackle
","$4,068,500  ",2016
315,,"
Alex Mack
Center
","$4,050,000  ",2016
,,"
David Amerson
Cornerback
","$4,050,000  ",2016
,,"
Brandon Fusco
Guard
","$4,050,000  ",2016
318,,"
Mike Mitchell
Free Safety
","$4,020,416  ",2016
319,,"
Rob Ninkovich
Outside Linebacker
","$4,014,705  ",2016
320,,"
Marshal Yanda
Guard
","$4,010,220  ",2016
321,,"
Evan Mathis
Guard
","$4,006,900  ",2016
322,,"
Donald Stephenson
Left Tackle
","$4,000,000  ",2016
,,"
Patrick Robinson
Cornerback
","$4,000,000  ",2016
,,"
Frank Gore
Running Back
","$4,000,000  ",2016
,,"
Aldon Smith
Outside Linebacker
","$4,000,000  ",2016
,,"
Andrew Sendejo
Strong Safety
","$4,000,000  ",2016
,,"
Ryan Mathews
Running Back
","$4,000,000  ",2016
,,"
Marcedes Lewis
Tight End
","$4,000,000  ",2016
