Player,Tm,Lg,AV,salary,index,college,state
Josh Sitton,TOT,NFL,95,"$5,550,000 ",Central Florida Community College,Central Florida,FL
Josh Sitton,TOT,NFL,95,"$6,400,000 ",Central Florida Community College,Central Florida,FL
Josh Sitton,TOT,NFL,95,"$7,000,000 ",Central Florida Community College,Central Florida,FL
Josh Sitton,TOT,NFL,95,"$5,416,666 ",Central Florida Community College,Central Florida,FL
Josh Sitton,TOT,NFL,95,"$6,822,916 ",Central Florida Community College,Central Florida,FL
Josh Sitton,TOT,NFL,95,"$6,500,000 ",Central Florida Community College,Central Florida,FL
Eric Weddle,TOT,NFL,94,"$3,600,000 ",College of Eastern Utah,Utah,UT
Eric Weddle,TOT,NFL,94,"$3,600,000 ",College of Eastern Utah,Utah,UT
Eric Weddle,TOT,NFL,94,"$7,600,000 ",College of Eastern Utah,Utah,UT
Eric Weddle,TOT,NFL,94,"$8,600,000 ",College of Eastern Utah,Utah,UT
Eric Weddle,TOT,NFL,94,"$10,100,000 ",College of Eastern Utah,Utah,UT
Eric Weddle,TOT,NFL,94,"$10,100,000 ",College of Eastern Utah,Utah,UT
Eric Weddle,TOT,NFL,94,"$3,750,000 ",College of Eastern Utah,Utah,UT
Eric Weddle,TOT,NFL,94,"$5,750,000 ",College of Eastern Utah,Utah,UT
Eric Weddle,TOT,NFL,94,"$8,250,000 ",College of Eastern Utah,Utah,UT
Cameron Wake,MIA,NFL,93,"$700,000 ",,Penn St.,
Cameron Wake,MIA,NFL,93,"$700,000 ",,Penn St.,
Cameron Wake,MIA,NFL,93,"$2,190,000 ",,Penn St.,
Cameron Wake,MIA,NFL,93,"$5,015,000 ",,Penn St.,
Cameron Wake,MIA,NFL,93,"$7,285,000 ",,Penn St.,
Cameron Wake,MIA,NFL,93,"$10,450,000 ",,Penn St.,
Cameron Wake,MIA,NFL,93,"$8,525,000 ",,Penn St.,
Cameron Wake,MIA,NFL,93,"$7,500,000 ",,Penn St.,
Cameron Wake,MIA,NFL,93,"$9,625,000 ",,Penn St.,
Marshal Yanda,RAV,NFL,92,"$4,000,000 ",Iowa State University,Iowa,IA
Marshal Yanda,RAV,NFL,92,"$4,000,000 ",Iowa State University,Iowa,IA
Marshal Yanda,RAV,NFL,92,"$3,650,000 ",Iowa State University,Iowa,IA
Marshal Yanda,RAV,NFL,92,"$7,450,000 ",Iowa State University,Iowa,IA
Marshal Yanda,RAV,NFL,92,"$8,450,000 ",Iowa State University,Iowa,IA
Marshal Yanda,RAV,NFL,92,"$6,981,764 ",Iowa State University,Iowa,IA
Marshal Yanda,RAV,NFL,92,"$4,010,220 ",Iowa State University,Iowa,IA
Marshal Yanda,RAV,NFL,92,"$9,125,220 ",Iowa State University,Iowa,IA
Marshal Yanda,RAV,NFL,92,"$10,125,220 ",Iowa State University,Iowa,IA
Andy Dalton,CIN,NFL,91,"$948,036 ",,TCU,
Andy Dalton,CIN,NFL,91,"$948,036 ",,TCU,
