Player,college,state,PER
Darrun Hilliard,Villanova University,PA,4
Malik Allen,Villanova University,PA,4
Mike James,Duquesne University,PA,2
Chris Smith,University of Pittsburgh,PA,2
Lamar Patterson,University of Pittsburgh,PA,1
Luis Montero,Westchester CC,PA,1
Luis Montero,Westchester CC,PA,0
MarShon Brooks,Providence College,RI,98
Lamar Odom,University of Rhode Island,RI,90
MarShon Brooks,Providence College,RI,71
Matt Barnes,Providence College,RI,71
Matt Barnes,Providence College,RI,71
Matt Barnes,Providence College,RI,64
Kris Dunn,Providence College,RI,63
Bryce Cotton,Providence College,RI,63
MarShon Brooks,Providence College,RI,55
MarShon Brooks,Providence College,RI,50
Matt Barnes,Providence College,RI,42
Matt Barnes,Providence College,RI,40
Matt Barnes,Providence College,RI,36
Lamar Odom,University of Rhode Island,RI,33
Matt Barnes,Providence College,RI,28
Lamar Odom,University of Rhode Island,RI,21
Ryan Gomes,Providence College,RI,19
Kris Dunn,Providence College,RI,15
Ryan Gomes,Providence College,RI,5
Bryce Cotton,Providence College,RI,3
Ryan Gomes,Providence College,RI,2
Ben Bentil,Providence College,RI,0
Larry Nance,Clemson University,SC,92
Mike Dunleavy,University of South Carolina,SC,78
Jason Thompson,University of South Carolina,SC,77
Larry Nance,Clemson University,SC,72
Trevor Booker,Clemson University,SC,72
Trevor Booker,Clemson University,SC,70
Trevor Booker,Clemson University,SC,69
Trevor Booker,Clemson University,SC,69
Troy Williams,South Carolina State University,SC,68
Trevor Booker,Clemson University,SC,67
Trevor Booker,Clemson University,SC,66
Mike Dunleavy,University of South Carolina,SC,64
Jason Thompson,University of South Carolina,SC,64
Trevor Booker,Clemson University,SC,62
Jason Thompson,University of South Carolina,SC,61
Renaldo Balkman,University of South Carolina,SC,61
Trevor Booker,Clemson University,SC,58
Mike Dunleavy,University of South Carolina,SC,56
Jason Thompson,University of South Carolina,SC,56
Larry Nance,Clemson University,SC,54
Mike Dunleavy,University of South Carolina,SC,47
Andrew Goudelock,College of Charleston,SC,45
Mike Dunleavy,University of South Carolina,SC,39
Jason Thompson,University of South Carolina,SC,34
Jason Thompson,University of South Carolina,SC,27
Mike Dunleavy,University of South Carolina,SC,26
Renaldo Balkman,University of South Carolina,SC,21
Mike Dunleavy,University of South Carolina,SC,20
