k,Player,Season,Age,Tm,Lg,PER,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
121,Tobias Harris\harrito02,2015-16,23,TOT,NBA,16.2,76,74,2513,6.0,12.7,4.8,9.3,1.1,3.4,2.9,3.5,1.4,5.9,7.3,2.4,0.9,0.6,1.5,2.2,16.0,.469,.518,.335,.514,.831,.560
122,Jon Leuer\leuerjo01,2015-16,26,PHO,NBA,16.2,67,27,1255,6.4,13.4,5.2,10.2,1.2,3.2,2.2,2.9,2.2,8.5,10.7,2.1,1.1,0.9,2.2,3.6,16.3,.481,.511,.382,.526,.762,.555
123,Nerlens Noel\noelne01,2015-16,21,PHI,NBA,16.2,67,62,1965,5.6,10.8,5.6,10.7,0.0,0.0,2.5,4.2,2.8,7.1,9.9,2.2,2.2,1.8,2.9,3.5,13.7,.521,.521,.500,.522,.590,.544
124,Zaza Pachulia\pachuza01,2015-16,31,DAL,NBA,16.2,76,69,2004,3.9,8.4,3.9,8.4,0.0,0.1,3.8,5.0,4.5,8.4,12.9,2.3,1.1,0.4,2.1,3.3,11.7,.466,.469,.000,.466,.768,.550
125,Tony Parker\parketo01,2015-16,33,SAS,NBA,16.2,72,72,1980,6.4,12.9,5.9,11.7,0.5,1.2,2.4,3.1,0.3,2.9,3.2,6.9,1.0,0.2,2.4,2.1,15.6,.493,.501,.415,.512,.760,.546
126,Chandler Parsons\parsoch01,2015-16,27,DAL,NBA,16.2,61,51,1799,6.4,13.0,4.3,8.0,2.1,5.0,1.9,2.7,0.6,5.1,5.7,3.4,0.9,0.4,1.9,2.3,16.7,.492,.540,.414,.571,.684,.589
127,Mirza Teletovic\teletmi01,2015-16,30,PHO,NBA,16.2,79,1,1686,7.1,16.6,3.2,6.8,3.9,9.8,2.6,3.3,1.2,5.3,6.4,1.9,0.7,0.4,1.8,3.4,20.6,.427,.476,.393,.544,.774,.571
128,Cody Zeller\zelleco01,2015-16,23,CHO,NBA,16.1,73,60,1774,4.7,8.9,4.7,8.7,0.0,0.2,3.6,4.7,2.8,6.4,9.2,1.4,1.2,1.3,1.4,4.1,12.9,.529,.539,.100,.530,.754,.592
129,Will Barton\bartowi01,2015-16,25,DEN,NBA,16.0,82,1,2353,6.5,15.0,4.8,10.1,1.7,5.0,3.3,4.1,0.9,6.4,7.3,3.1,1.1,0.6,2.1,2.2,18.0,.432,.476,.345,.489,.806,.535
130,Amir Johnson\johnsam01,2015-16,28,BOS,NBA,16.0,79,76,1800,5.0,8.5,4.8,7.7,0.2,0.9,1.4,2.4,3.6,6.5,10.1,2.8,1.0,1.7,1.9,4.3,11.5,.585,.624,.233,.596,.570,.602
131,Jusuf Nurkic\nurkiju01,2015-16,21,DEN,NBA,16.0,32,3,547,6.6,15.9,6.6,15.7,0.0,0.2,4.0,6.5,4.3,7.2,11.5,2.6,1.6,2.9,3.6,6.0,17.3,.417,.423,.000,.417,.616,.460
132,Andrew Bogut\bogutan01,2015-16,31,GSW,NBA,15.9,70,66,1451,4.3,6.9,4.3,6.9,0.0,0.0,0.6,1.2,3.0,9.2,12.2,4.0,0.8,2.8,2.1,5.5,9.3,.627,.626,1.000,.629,.480,.623
133,Darren Collison\collida01,2015-16,28,SAC,NBA,15.9,74,15,2219,6.1,12.6,4.7,9.1,1.4,3.5,3.1,3.7,0.5,2.3,2.7,5.2,1.2,0.1,2.1,2.3,16.8,.486,.519,.401,.542,.858,.591
