state,year,per,war,av,per_spend_discrepancy,war_spend_discrepancy,av_spend_discrepancy,per_spend,war_spend,av_spend
GA,2016,15.04285714,1.385714286,4.112903226,9404517.714,4171041.667,6103798.727,9404517.714,4171041.667,6103798.727
HI,2016,0,1.5,1,0,882250,0,0,882250,0
ID,2016,0,0,3.727272727,0,0,3440235.083,0,0,3440235.083
IL,2016,12.15,2.266666667,3.291666667,3630024.667,7401250,3852494.636,3630024.667,7401250,3852494.636
IN,2016,14.35833333,0.35,3.619047619,6775137.667,4153214.286,3590635.345,6775137.667,4153214.286,3590635.345
IA,2016,11.975,0,4.666666667,5937318,0,4287828.737,5937318,0,4287828.737
KS,2016,12.13333333,1.1,4.333333333,4190754,662216.6667,4299000,4190754,662216.6667,4299000
KY,2016,12.85151515,2.15,3.2,6577169.208,2515833.2,3161549.818,6577169.208,2515833.2,3161549.818
LA,2016,14.71538462,2.725,3.611111111,5755305.6,4374740.667,3732761.609,5755305.6,4374740.667,3732761.609
ME,2016,0,0,0,0,0,0,0,0,0
MD,2016,11.22,0,3.086956522,6627097.667,3800000,2550087.5,6627097.667,0,2550087.5
MA,2016,13.8,0,3.428571429,12001391.4,1300000,6256555.6,12001391.4,0,6256555.6
MI,2016,10.54444444,1.8,3.976190476,6976432.091,3487500,3991200.542,6976432.091,3487500,3991200.542
MN,2016,13.1,0,2.416666667,4000000,0,3818410,4000000,0,3818410
MS,2016,0,2.4,4.4375,0,3879687.5,4315868.767,0,3879687.5,4315868.767
MO,2016,0,2.325,2.942857143,0,12041294.63,2709494.789,0,12041294.63,2709494.789
MT,2016,0,0,1.25,0,0,5800666.667,0,0,5800666.667
NE,2016,10.26666667,0.9,4.142857143,5240825.667,3463400,3896154.75,5240825.667,3463400,3896154.75
NV,2016,12.4,0,4.5,1873237.833,1612500,7732232.333,1873237.833,0,7732232.333
NH,2016,0,0,5,0,0,4775000,0,0,4775000
NJ,2016,0,2.05,3.043478261,0,3660000,3777299.2,0,3660000,3777299.2
NM,2016,6.6,0,2,2368327,0,4168631,2368327,0,4168631
NY,2016,14.44166667,0,3.041666667,4943539.333,4333333.333,2489742.417,4943539.333,0,2489742.417
NC,2016,14.35416667,1.433333333,3.322033898,7637889,3313530.769,3966916.621,7637889,3313530.769,3966916.621
