k,Player,Season,Age,Tm,Lg,PER,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
23,Blake Griffin\griffbl01,2015-16,26,LAC,NBA,22.1,35,35,1170,9.3,18.6,9.1,18.0,0.2,0.6,4.3,6.0,1.6,7.5,9.0,5.2,0.9,0.5,2.6,2.9,23.0,.499,.504,.333,.504,.727,.544
24,Greg Monroe\monrogr01,2015-16,25,MIL,NBA,21.8,79,67,2314,7.6,14.6,7.6,14.6,0.0,0.0,3.5,4.8,3.4,7.4,10.8,2.8,1.1,1.0,2.0,2.5,18.8,.522,.522,.000,.522,.740,.562
25,Pau Gasol\gasolpa01,2015-16,35,CHI,NBA,21.7,72,72,2291,7.3,15.6,7.0,14.6,0.4,1.1,3.6,4.5,2.4,10.0,12.5,4.6,0.7,2.3,2.6,2.3,18.7,.469,.478,.348,.481,.792,.529
26,Brook Lopez\lopezbr01,2015-16,27,BRK,NBA,21.7,73,73,2457,8.7,17.0,8.6,16.7,0.0,0.2,4.6,5.9,3.0,5.4,8.4,2.2,0.8,1.8,2.6,3.2,22.0,.511,.515,.143,.512,.787,.562
27,Derrick Favors\favorde01,2015-16,24,UTA,NBA,21.6,62,59,1983,7.6,14.7,7.6,14.7,0.0,0.1,3.3,4.6,3.1,6.1,9.1,1.7,1.3,1.7,1.9,2.7,18.4,.515,.518,.000,.515,.709,.551
28,DeMar DeRozan\derozde01,2015-16,26,TOR,NBA,21.5,78,78,2804,7.9,17.7,7.3,15.9,0.6,1.8,7.1,8.4,0.8,3.7,4.5,4.0,1.0,0.3,2.2,2.1,23.5,.446,.458,.338,.463,.850,.550
29,Nikola Jokic\jokicni01,2015-16,20,DEN,NBA,21.5,80,55,1733,6.4,12.5,5.8,10.7,0.6,1.7,3.2,3.9,3.8,7.9,11.6,3.9,1.6,1.0,2.2,4.3,16.5,.512,.541,.333,.535,.811,.582
30,Isaiah Thomas\thomais02,2015-16,26,BOS,NBA,21.5,82,79,2644,8.0,18.8,5.8,12.5,2.3,6.3,6.5,7.4,0.6,2.7,3.3,6.9,1.2,0.1,3.0,2.3,24.8,.428,.462,.359,.488,.871,.562
31,Cole Aldrich\aldrico01,2015-16,27,LAC,NBA,21.3,60,5,800,6.0,10.1,6.0,10.1,0.0,0.0,2.7,3.8,3.9,9.1,13.0,2.3,2.1,3.1,2.9,6.3,14.8,.596,.596,,.596,.714,.626
32,Jimmy Butler\butleji01,2015-16,26,CHI,NBA,21.3,67,67,2474,6.8,15.1,5.9,12.1,0.9,3.0,5.7,6.9,1.1,4.1,5.2,4.7,1.6,0.6,1.9,1.8,20.4,.454,.489,.312,.485,.832,.562
33,Paul Millsap\millspa01,2015-16,30,ATL,NBA,21.3,81,81,2647,6.8,14.5,5.8,11.3,1.0,3.2,4.2,5.5,2.7,7.3,10.0,3.6,2.0,1.9,2.6,3.2,18.8,.470,.512,.319,.505,.757,.556
34,Andre Drummond\drumman01,2015-16,22,DET,NBA,21.2,81,81,2666,7.5,14.3,7.4,14.2,0.0,0.1,2.8,7.9,5.3,10.8,16.2,0.9,1.6,1.5,2.1,3.3,17.7,.521,.522,.333,.522,.355,.499
35,Nikola Vucevic\vucevni01,2015-16,25,ORL,NBA,21.1,65,60,2037,9.4,18.5,9.4,18.3,0.0,0.2,2.0,2.7,3.1,7.1,10.2,3.2,0.9,1.2,2.2,3.1,20.9,.510,.512,.222,.511,.753,.531
36,Alan Williams\willial03,2015-16,23,PHO,NBA,21.1,10,0,68,5.3,12.7,5.3,12.7,0.0,0.0,4.8,7.4,7.4,12.7,20.1,2.6,2.1,2.6,3.2,7.9,15.4,.417,.417,,.417,.643,.481
37,Kenneth Faried\farieke01,2015-16,26,DEN,NBA,21.0,67,64,1694,7.4,13.3,7.4,13.3,0.0,0.0,2.9,4.7,5.0,7.4,12.3,1.7,0.7,1.3,1.9,3.6,17.7,.558,.558,.500,.558,.613,.577
38,Paul George\georgpa01,2015-16,25,IND,NBA,20.9,81,81,2819,7.7,18.5,5.0,11.3,2.7,7.2,5.8,6.7,1.0,6.2,7.2,4.2,1.9,0.4,3.4,2.9,23.9,.418,.447,.371,.490,.860,.557
39,Kemba Walker\walkeke02,2015-16,25,CHO,NBA,20.8,81,81,2885,7.1,16.6,4.8,10.5,2.3,6.1,4.6,5.5,0.7,3.8,4.5,5.3,1.6,0.5,2.1,1.4,21.1,.427,.459,.371,.495,.847,.554
40,DeAndre Jordan\jordade01,2015-16,27,LAC,NBA,20.6,77,77,2598,4.9,7.0,4.9,7.0,0.0,0.0,3.7,8.6,3.7,11.0,14.7,1.2,0.7,2.5,1.5,2.9,13.6,.703,.704,.000,.703,.430,.628
41,Carmelo Anthony\anthoca01,2015-16,31,NYK,NBA,20.3,72,72,2530,8.1,18.6,6.6,14.2,1.5,4.4,4.8,5.7,1.4,6.5,7.9,4.3,0.9,0.5,2.5,2.6,22.4,.434,.463,.339,.474,.829,.530
42,Dwyane Wade\wadedw01,2015-16,34,MIA,NBA,20.3,74,73,2258,8.6,18.9,8.5,18.2,0.1,0.7,5.1,6.5,1.3,3.5,4.8,5.5,1.3,0.7,3.2,1.8,22.5,.456,.468,.159,.459,.793,.517
43,Chris Bosh\boshch01,2015-16,31,MIA,NBA,20.2,53,53,1778,7.2,15.5,5.6,11.0,1.6,4.5,4.3,5.4,1.0,6.9,7.9,2.6,0.7,0.7,1.6,2.0,20.4,.467,.508,.365,.520,.795,.571
44,Eric Bledsoe\bledser01,2015-16,26,PHO,NBA,20.0,31,31,1059,7.6,16.7,5.9,12.3,1.6,4.4,4.7,5.8,0.6,3.6,4.2,6.5,2.1,0.6,3.7,2.5,21.5,.453,.482,.372,.502,.802,.557
45,Jarnell Stokes\stokeja01,2015-16,22,TOT,NBA,20.0,7,0,18,6.0,10.0,6.0,10.0,0.0,0.0,2.0,4.0,2.0,6.0,8.0,2.0,2.0,0.0,0.0,2.0,14.0,.600,.600,,.600,.500,.595
